Geo_NAME,Geo_QName,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_PLACECE,SE_T001_001,SE_T002_002,SE_T002_001,SE_T002_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T004_007,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T013_009,SE_T013_010,SE_T013_011,SE_T013_012,SE_T013_013,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T014_011,SE_T014_012,SE_T014_013,SE_T014_014,SE_T014_015,SE_T014_016,SE_T014_017,SE_T014_018,SE_T014_019,SE_T014_020,SE_T014_021,SE_T028_001,SE_T028_002,SE_T028_003,SE_T028_004,SE_T041_001,SE_T041_002,SE_T041_003,SE_T041_004,SE_T041_005,SE_T041_006,SE_T041_007,SE_T041_008,SE_T041_009,SE_T041_010,SE_T041_011,SE_T041_012,SE_T041_013,SE_T041_014,SE_T041_015,SE_T041_016,SE_T041_017,SE_T041_018,SE_T041_019,SE_T041_020,SE_T041_021,SE_T041_022,SE_T041_023,SE_T041_024,SE_T041_025,SE_T041_026,SE_T043_001,SE_T099_001,SE_T099_002,SE_T099_003,SE_T099_004,SE_T099_005,SE_T099_006,SE_T099_007,SE_T099_008,SE_T099_009,SE_T099_010,SE_T099_011,SE_T099_012,SE_T099_013,SE_T110_001,SE_T110_002,SE_T110_003,SE_T110_004,SE_T110_005,SE_T111_001,SE_T111_002,SE_T111_003,SE_T111_004,SE_T111_005
"Carlisle city","Carlisle city, Arkansas","160","00","3","7","050335","05","0335",2253,2253,1034.98456261085,2.17684406259797,2245,0,0,0,2245,5,2240,2253,2252,1971,274,1,4,2,1,1,0,0,0,0,2245,2245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1767,1032,2,1030,964,156,145,84,41,34,40,55,38,30,54,33,29,10,24,29,16,20,21,17,10,41,15,6,9,7,18875,2245,1827,1647,169,2,4,5,418,344,74,0,0,0,2245,2229,16,13,3,16,2,2,2,10
"Carthage city","Carthage city, Arkansas","160","00","3","7","050340","05","0340",452,452,449.567809523809,1.00541006367597,444,0,0,0,444,2,442,452,451,66,383,0,2,0,1,0,0,0,1,0,444,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,141,0,141,135,22,36,10,13,4,8,2,1,2,6,2,2,7,5,2,0,2,2,7,0,2,0,0,0,0,12375,393,265,45,220,0,0,0,128,10,113,0,5,0,444,444,0,0,0,0,0,0,0,0
"Casa town","Casa town, Arkansas","160","00","3","7","050345","05","0345",200,200,183.817459190916,1.088035929124,227,0,0,0,227,0,227,200,200,197,0,3,0,0,0,0,0,0,0,0,227,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,112,0,112,82,8,8,9,11,2,4,4,8,4,2,3,4,0,0,2,0,2,0,0,3,8,0,0,0,0,19375,227,172,172,0,0,0,0,55,50,0,5,0,0,227,225,2,2,0,2,0,2,0,0
"Cash town","Cash town, Arkansas","160","00","3","7","050350","05","0350",214,214,585.277119324182,0.365638759716261,223,0,0,0,223,0,223,214,214,214,0,0,0,0,0,0,0,0,0,0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,75,0,75,82,6,6,8,5,1,7,3,10,7,6,3,4,2,4,2,0,0,0,0,0,2,1,0,0,5,23750,219,195,195,0,0,0,0,24,24,0,0,0,0,223,223,0,0,0,0,0,0,0,0
"Caulksville town","Caulksville town, Arkansas","160","00","3","7","050353","05","0353",224,224,165.381217787913,1.35444642986763,248,0,0,0,248,7,241,224,224,222,0,2,0,0,0,0,0,0,0,0,248,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,102,0,102,99,5,14,12,10,14,5,13,4,4,3,2,2,2,0,2,0,0,4,0,0,3,0,0,0,0,16518,248,224,224,0,0,0,0,24,24,0,0,0,0,248,248,0,0,0,0,0,0,0,0
"Cave City city","Cave City city, Arkansas","160","00","3","7","050355","05","0355",1503,1503,607.672801123946,2.47337053299089,1495,0,0,0,1495,0,1495,1503,1502,1473,13,16,0,0,1,1,0,0,0,0,1495,1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214,631,2,629,625,121,111,49,37,32,50,38,21,23,18,27,13,22,12,9,17,3,2,4,2,6,6,0,0,2,14628,1451,1084,1068,0,16,0,0,367,362,3,2,0,0,1495,1488,7,7,0,7,0,0,4,3
"Cave Springs city","Cave Springs city, Arkansas","160","00","3","7","050360","05","0360",465,465,542.741964849031,0.856760726304523,475,0,0,0,475,17,458,465,455,447,0,7,1,0,10,3,0,0,0,7,475,465,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,241,0,241,170,14,16,9,5,13,7,18,17,14,3,6,8,11,2,7,2,0,7,5,0,2,2,2,0,0,22941,475,417,394,0,15,0,8,58,58,0,0,0,0,475,475,0,0,0,0,0,0,0,0
"Centerton city","Centerton city, Arkansas","160","00","3","7","050375","05","0375",491,491,462.598802473627,1.06139487904963,508,0,0,0,508,4,504,491,491,472,0,17,2,0,0,0,0,0,0,0,508,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,265,0,265,185,13,7,18,19,23,8,0,9,10,13,7,11,4,7,12,2,3,8,2,5,0,2,0,2,0,23750,505,478,467,0,11,0,0,27,25,0,0,2,0,508,506,2,2,0,2,0,2,0,0
"Central City town","Central City town, Arkansas","160","00","3","7","050378","05","0378",419,419,191.394174955908,2.18919933219768,422,0,0,0,422,16,406,419,417,410,0,7,0,0,2,0,0,0,0,2,422,420,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,267,6,261,177,10,19,11,6,12,18,19,11,4,13,5,10,3,7,2,5,7,2,6,5,2,0,0,0,0,21645,422,362,348,0,12,0,2,60,60,0,0,0,0,422,414,8,6,2,8,2,0,3,3
"Charleston city","Charleston city, Arkansas","160","00","3","7","050380","05","0380",2128,2128,578.634589396326,3.6776232167871,2128,0,0,0,2128,9,2119,2128,2113,2087,0,15,11,0,15,15,0,0,0,0,2128,2115,13,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1644,953,2,951,821,83,101,59,59,72,51,42,62,29,22,38,28,10,17,24,21,15,14,26,22,14,8,4,0,0,19289,2045,1803,1792,0,11,0,0,242,236,0,6,0,0,2128,2120,8,8,0,8,2,0,6,0
"Cherokee Village-Hidden Valley CDP","Cherokee Village-Hidden Valley CDP, Arkansas","160","00","3","7","050383","05","0383",4416,4416,142.505974507532,30.9881744625844,4381,4381,0,4381,0,0,0,4416,4406,4367,7,30,2,0,10,10,0,0,0,0,4381,4381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3866,998,0,998,2085,132,260,172,113,123,243,128,168,156,79,81,93,76,38,44,7,56,9,49,32,18,0,0,8,0,19995,4375,3771,3755,0,9,7,0,604,576,0,28,0,0,4381,4350,31,23,8,31,0,0,16,15
"Cherry Valley city","Cherry Valley city, Arkansas","160","00","3","7","050385","05","0385",659,659,754.554417329797,0.873363119829127,670,0,0,0,670,2,668,659,658,605,51,2,0,0,1,1,0,0,0,0,670,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,292,0,292,262,20,42,18,20,17,25,18,20,11,8,8,4,14,8,6,4,5,2,8,2,2,0,0,0,0,18900,670,567,504,61,2,0,0,103,99,4,0,0,0,670,670,0,0,0,0,0,0,0,0
"Chester town","Chester town, Arkansas","160","00","3","7","050390","05","0390",125,125,249.037307692308,0.501932827488004,94,0,0,0,94,0,94,125,121,121,0,0,0,0,4,4,0,0,0,0,94,86,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,33,0,33,36,4,12,0,2,6,2,3,0,0,0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,0,15000,94,70,70,0,0,0,0,24,24,0,0,0,0,94,87,7,4,3,7,0,0,2,5
"Chidester city","Chidester city, Arkansas","160","00","3","7","050395","05","0395",489,489,117.530079064588,4.16063703770056,381,0,0,0,381,0,381,489,488,236,252,0,0,0,1,1,0,0,0,0,381,375,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,189,0,189,139,0,33,25,18,5,0,6,8,6,6,12,0,0,0,7,0,0,0,5,8,0,0,0,0,0,14097,381,287,125,162,0,0,0,94,67,27,0,0,0,381,381,0,0,0,0,0,0,0,0
"Clarendon city","Clarendon city, Arkansas","160","00","3","7","050400","05","0400",2072,2072,1331.95709506081,1.55560566303782,2055,0,0,0,2055,47,2008,2072,2068,1377,680,7,4,0,4,2,2,0,0,0,2055,2037,18,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1518,766,0,766,842,161,193,68,54,45,35,59,26,33,18,31,8,14,16,20,10,4,5,6,14,5,6,8,3,0,12463,2023,1311,1058,242,8,3,0,712,273,439,0,0,0,2055,2053,2,2,0,2,0,0,0,2
"Clarksville city","Clarksville city, Arkansas","160","00","3","7","050405","05","0405",5833,5833,392.063945293644,14.8776751089194,5833,5833,0,5833,0,0,0,5833,5730,5361,283,19,61,6,103,44,3,0,0,56,5833,5683,150,57,0,0,93,0,68,0,29,0,0,39,0,0,0,0,0,0,25,4720,2453,0,2453,2348,250,346,268,227,127,179,126,68,112,113,116,39,66,40,23,25,35,23,17,30,76,11,21,5,5,16634,5365,4224,4073,115,0,12,24,1141,975,123,0,33,10,5833,5646,187,81,106,187,158,24,0,5
"Clinton city","Clinton city, Arkansas","160","00","3","7","050415","05","0415",2213,2213,192.382218776223,11.5031420995001,2207,0,0,0,2207,24,2183,2213,2197,2182,3,5,7,0,16,7,0,0,0,9,2207,2203,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1779,850,0,850,912,96,194,74,87,102,37,53,23,45,30,20,8,41,7,4,5,20,13,18,5,15,12,3,0,0,15123,2095,1609,1602,0,7,0,0,486,465,4,14,3,0,2207,2182,25,16,9,25,3,0,15,7
"Coal Hill city","Coal Hill city, Arkansas","160","00","3","7","050420","05","0420",912,912,384.45134375,2.3722117631433,924,0,0,0,924,11,913,912,908,886,13,9,0,0,4,3,0,0,0,1,924,919,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,331,4,327,401,66,93,31,15,24,30,13,19,29,6,13,10,6,5,16,8,0,0,5,9,2,1,0,0,0,14250,924,699,692,4,0,0,3,225,220,0,5,0,0,924,924,0,0,0,0,0,0,0,0
"College City town","College City town, Arkansas","160","00","3","7","050425","05","0425",339,339,760.178296103896,0.445948012114342,352,0,0,0,352,0,352,339,338,316,9,4,9,0,1,1,0,0,0,0,352,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,185,0,185,74,9,21,13,2,4,3,2,2,3,4,3,2,3,0,0,0,3,0,0,0,0,0,0,0,0,11346,185,122,119,3,0,0,0,63,63,0,0,0,0,352,338,14,0,14,14,14,0,0,0
"Colt city","Colt city, Arkansas","160","00","3","7","050435","05","0435",334,334,267.736302073661,1.24749612739518,358,0,0,0,358,0,358,334,334,333,1,0,0,0,0,0,0,0,0,0,358,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,147,0,147,146,19,35,8,18,5,6,3,7,7,7,8,3,2,6,2,6,2,0,0,0,2,0,0,0,0,14028,358,271,271,0,0,0,0,87,87,0,0,0,0,358,358,0,0,0,0,0,0,0,0
"Concord town","Concord town, Arkansas","160","00","3","7","050437","05","0437",262,262,92.6005534934498,2.82935673833238,248,0,0,0,248,24,224,262,255,255,0,0,0,0,7,7,0,0,0,0,248,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,113,0,113,108,11,16,4,6,8,11,11,4,11,0,5,1,0,13,0,0,0,0,2,0,2,0,0,0,3,19545,248,211,211,0,0,0,0,37,37,0,0,0,0,248,248,0,0,0,0,0,0,0,0
"Conway city","Conway city, Arkansas","160","00","3","7","050440","05","0440",26481,26481,1099.83117748557,24.0773316324246,26481,26481,0,26481,0,0,0,26481,26338,23423,2654,81,171,9,143,98,4,3,2,36,26481,26290,191,115,7,5,64,0,0,0,0,0,0,0,0,9,9,0,0,0,55,21500,13572,50,13522,9371,943,1083,560,522,632,391,605,370,440,379,321,286,327,266,315,248,254,153,274,240,357,228,95,42,40,22291,23008,19113,17514,1292,77,218,12,3895,3244,614,19,18,0,26481,26176,305,100,205,305,157,84,15,49
"Corinth town","Corinth town, Arkansas","160","00","3","7","050443","05","0443",63,63,20.1842211776348,3.1212499826254,57,0,0,0,57,8,49,63,61,60,0,0,0,1,2,0,0,0,0,2,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,23,0,23,17,0,4,0,0,4,2,0,0,2,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,18125,57,48,48,0,0,0,0,9,9,0,0,0,0,57,57,0,0,0,0,0,0,0,0
"Corning city","Corning city, Arkansas","160","00","3","7","050445","05","0445",3323,3323,1749.29474065041,1.8996227009546,3323,3323,0,3323,0,0,0,3323,3314,3294,1,13,6,0,9,7,1,0,0,1,3323,3309,14,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2658,1440,0,1440,1367,217,216,97,74,109,61,99,59,50,101,53,45,41,47,13,11,15,0,17,0,10,20,6,0,6,16823,3178,2499,2486,7,0,6,0,679,672,0,0,0,7,3323,3302,21,0,21,21,7,6,8,0
"Cotter city","Cotter city, Arkansas","160","00","3","7","050450","05","0450",867,867,352.958125746621,2.45638203729129,867,0,0,0,867,4,863,867,858,850,0,6,2,0,9,6,0,0,0,3,867,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,352,0,352,363,29,73,44,39,23,19,25,20,15,14,13,11,3,2,4,7,4,0,7,4,2,3,0,2,0,14776,863,634,624,0,10,0,0,229,227,0,2,0,0,867,860,7,3,4,7,2,2,0,3
"Cotton Plant city","Cotton Plant city, Arkansas","160","00","3","7","050455","05","0455",1150,1150,1119.73165413534,1.02703178547545,1150,0,0,0,1150,16,1134,1150,1142,313,828,1,0,0,8,0,7,1,0,0,1150,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827,359,0,359,472,142,123,32,12,29,37,30,12,17,7,3,2,2,10,0,0,3,0,4,0,7,0,0,0,0,8229,1150,539,241,298,0,0,0,611,72,537,2,0,0,1150,1150,0,0,0,0,0,0,0,0
"Cove town","Cove town, Arkansas","160","00","3","7","050460","05","0460",346,346,348.555366783353,0.992668691901275,353,0,0,0,353,0,353,346,345,328,0,17,0,0,1,0,0,0,0,1,353,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,99,0,99,151,27,41,14,11,13,13,6,6,4,2,7,2,0,0,2,0,0,3,0,0,0,0,0,0,0,11339,353,222,222,0,0,0,0,131,128,0,3,0,0,353,353,0,0,0,0,0,0,0,0
"Coy town","Coy town, Arkansas","160","00","3","7","050465","05","0465",142,142,210.761201146132,0.673748295358897,154,0,0,0,154,24,130,142,142,107,35,0,0,0,0,0,0,0,0,0,154,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,83,0,83,56,2,8,2,0,4,4,4,7,0,0,0,2,3,5,0,3,2,0,0,0,2,2,4,0,2,23929,154,139,112,27,0,0,0,15,0,15,0,0,0,154,154,0,0,0,0,0,0,0,0
"Crawfordsville town","Crawfordsville town, Arkansas","160","00","3","7","050470","05","0470",617,617,1401.77420701754,0.44015647948948,635,0,0,0,635,0,635,617,617,210,405,1,1,0,0,0,0,0,0,0,635,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,219,0,219,200,46,35,10,8,4,10,17,7,12,0,4,8,5,0,5,2,0,4,13,0,4,2,2,2,0,15625,635,300,172,126,0,2,0,335,46,289,0,0,0,635,635,0,0,0,0,0,0,0,0
"Crossett city","Crossett city, Arkansas","160","00","3","7","050475","05","0475",6282,6282,1162.49675735925,5.40388604117085,6275,6275,0,6275,0,0,0,6282,6253,4249,1972,8,24,0,29,20,6,0,0,3,6275,6220,55,17,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4841,2801,0,2801,2432,182,338,175,80,165,116,106,44,101,126,54,67,128,30,57,64,140,52,94,65,126,77,31,14,0,25248,6177,5216,3932,1267,8,9,0,961,262,699,0,0,0,6275,6220,55,55,0,55,9,0,15,31
"Cushman town","Cushman town, Arkansas","160","00","3","7","050480","05","0480",428,428,107.362214430993,3.98650495677972,454,0,0,0,454,5,449,428,425,423,0,2,0,0,3,0,0,0,0,3,454,447,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,183,0,183,178,34,23,24,12,8,18,4,8,12,11,9,2,3,3,5,0,0,0,0,2,0,0,0,0,0,14167,454,319,312,0,0,0,7,135,131,0,4,0,0,454,451,3,0,3,3,3,0,0,0
"Daisy town","Daisy town, Arkansas","160","00","3","7","050485","05","0485",122,122,106.425913102055,1.1463373575476,126,0,0,0,126,0,126,122,122,122,0,0,0,0,0,0,0,0,0,0,126,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,49,0,49,56,6,5,4,7,5,0,9,2,4,5,2,2,2,0,0,0,3,0,0,0,0,0,0,0,0,20278,126,107,107,0,0,0,0,19,19,0,0,0,0,126,126,0,0,0,0,0,0,0,0
"Damascus town","Damascus town, Arkansas","160","00","3","7","050492","05","0492",246,246,179.525795435334,1.37027661904225,264,0,0,0,264,29,235,246,246,246,0,0,0,0,0,0,0,0,0,0,264,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,126,0,126,102,10,13,5,14,4,2,11,3,11,5,4,3,10,0,2,0,2,0,0,0,0,3,0,0,0,20682,264,244,244,0,0,0,0,20,20,0,0,0,0,264,263,1,0,1,1,0,0,0,1
"Danville city","Danville city, Arkansas","160","00","3","7","050495","05","0495",1585,1585,377.309832720588,4.2007916638996,1583,0,0,0,1583,34,1549,1585,1551,1481,33,8,26,3,34,10,0,0,20,4,1583,1565,18,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1268,769,2,767,668,52,101,62,30,50,32,45,25,51,24,24,18,24,12,21,16,15,4,22,0,22,8,4,2,4,20389,1576,1416,1336,26,9,42,3,160,154,4,2,0,0,1583,1542,41,17,24,41,33,4,0,4
"Dardanelle city","Dardanelle city, Arkansas","160","00","3","7","050500","05","0500",3722,3722,1269.41471372136,2.93205991687992,3722,3722,0,3722,0,0,0,3722,3678,3392,246,25,14,1,44,36,0,0,0,8,3722,3698,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2971,1688,7,1681,1597,181,291,124,156,67,112,102,112,52,57,53,21,37,33,26,34,32,13,25,13,35,0,14,0,7,16735,3715,3057,2788,263,0,0,6,658,624,0,0,22,12,3722,3668,54,34,20,54,6,6,22,20
"Datto town","Datto town, Arkansas","160","00","3","7","050505","05","0505",120,120,174.60593258427,0.687261871483574,120,0,0,0,120,6,114,120,119,119,0,0,0,0,1,1,0,0,0,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,40,0,40,45,8,10,1,3,4,0,6,3,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15313,120,89,89,0,0,0,0,31,31,0,0,0,0,120,120,0,0,0,0,0,0,0,0
"Decatur city","Decatur city, Arkansas","160","00","3","7","050510","05","0510",918,918,423.212706301175,2.16912201909816,918,0,0,0,918,32,886,918,907,867,0,36,4,0,11,5,0,4,0,2,918,912,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,455,0,455,335,14,54,28,14,10,27,13,10,14,21,23,20,9,13,12,6,8,9,7,4,8,3,5,0,3,24375,916,777,747,0,17,9,4,139,120,0,19,0,0,918,906,12,2,10,12,5,7,0,0
"Delaplaine town","Delaplaine town, Arkansas","160","00","3","7","050520","05","0520",146,146,132.169957357567,1.1046383226486,138,0,0,0,138,0,138,146,146,146,0,0,0,0,0,0,0,0,0,0,138,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,40,0,40,56,13,9,2,0,0,8,3,7,0,5,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,18750,138,108,108,0,0,0,0,30,30,0,0,0,0,138,138,0,0,0,0,0,0,0,0
"Delight city","Delight city, Arkansas","160","00","3","7","050525","05","0525",311,311,682.037483488569,0.455986668664102,313,0,0,0,313,0,313,311,311,310,0,1,0,0,0,0,0,0,0,0,313,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,124,0,124,137,18,29,12,6,8,9,10,7,6,5,3,2,0,3,0,0,2,2,0,5,2,3,3,2,0,16094,313,241,241,0,0,0,0,72,72,0,0,0,0,313,310,3,3,0,3,0,3,0,0
"Dell town","Dell town, Arkansas","160","00","3","7","050530","05","0530",258,258,290.402826597132,0.888421104653767,284,0,0,0,284,10,274,258,258,244,11,2,1,0,0,0,0,0,0,0,284,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,100,2,98,121,11,23,10,11,3,9,10,4,7,4,4,5,3,3,7,5,0,0,0,2,0,0,0,0,0,18194,284,235,205,23,4,3,0,49,49,0,0,0,0,284,278,6,6,0,6,0,3,0,3
"Denning city","Denning city, Arkansas","160","00","3","7","050535","05","0535",206,206,186.87829352014,1.10232170959865,224,0,0,0,224,0,224,206,200,198,0,2,0,0,6,6,0,0,0,0,224,212,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,75,0,75,92,13,14,6,4,13,11,9,6,8,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,16731,224,151,148,0,3,0,0,73,73,0,0,0,0,224,224,0,0,0,0,0,0,0,0
"De Queen city","De Queen city, Arkansas","160","00","3","7","050540","05","0540",4633,4633,833.119100465181,5.56102962639209,4633,4633,0,4633,0,0,0,4633,4127,3707,331,76,9,4,506,55,3,11,0,437,4633,4166,467,456,0,0,11,0,5,0,0,0,0,5,0,6,0,0,0,6,0,3648,2130,0,2130,1711,201,258,147,70,105,65,114,94,59,100,63,75,61,16,39,57,38,11,25,34,34,18,21,6,0,20208,4404,3514,2881,272,43,9,309,890,652,62,57,0,119,4633,4265,368,27,341,368,264,94,4,6
"Dermott city","Dermott city, Arkansas","160","00","3","7","050545","05","0545",4715,4715,1667.36666029492,2.82781232963242,4715,4715,0,4715,0,0,0,4715,4681,1234,3433,3,10,1,34,3,29,0,1,1,4715,4577,138,11,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,127,3294,1497,6,1491,1617,514,297,189,83,57,11,86,66,26,34,8,17,40,17,0,29,0,0,70,18,25,19,11,0,0,9932,4715,2324,1169,1137,0,0,18,2391,68,2323,0,0,0,4715,4697,18,0,18,18,0,0,11,7
"Des Arc city","Des Arc city, Arkansas","160","00","3","7","050550","05","0550",2001,2001,1044.45102539299,1.91583899230421,2001,0,0,0,2001,0,2001,2001,1997,1724,259,12,2,0,4,0,0,3,0,1,2001,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1567,858,2,856,776,129,148,53,31,50,38,58,20,16,24,49,21,31,10,12,13,6,13,18,6,18,10,0,0,2,16350,1914,1476,1341,120,15,0,0,438,299,136,3,0,0,2001,1996,5,5,0,5,0,0,0,5
"De Valls Bluff town","De Valls Bluff town, Arkansas","160","00","3","7","050555","05","0555",702,702,674.145931034483,1.04131756595011,683,0,0,0,683,0,683,702,702,501,197,4,0,0,0,0,0,0,0,0,683,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,255,0,255,269,57,65,17,21,20,8,14,6,10,5,5,6,10,2,7,0,6,2,2,2,2,0,0,0,2,11838,682,456,358,98,0,0,0,226,132,94,0,0,0,683,683,0,0,0,0,0,0,0,0
"De Witt city","De Witt city, Arkansas","160","00","3","7","050560","05","0560",3553,3553,1392.58888680387,2.55136317233902,3553,3553,0,3553,0,0,0,3553,3548,2783,751,9,5,0,5,1,2,0,0,2,3553,3553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2773,1544,0,1544,1454,253,244,55,119,105,76,109,66,46,39,81,38,39,13,30,26,23,16,27,6,6,13,0,0,24,16333,3405,2380,2035,345,0,0,0,1025,642,383,0,0,0,3553,3553,0,0,0,0,0,0,0,0
"Diamond City city","Diamond City city, Arkansas","160","00","3","7","050563","05","0563",601,601,420.243733261339,1.43012245616582,612,0,0,0,612,0,612,601,598,592,0,4,2,0,3,3,0,0,0,0,612,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,162,4,158,291,21,52,33,33,34,22,7,14,8,6,5,14,14,5,3,3,4,6,2,3,2,0,0,0,0,15478,605,521,515,0,4,2,0,84,84,0,0,0,0,612,597,15,9,6,15,2,0,0,13
"Diaz city","Diaz city, Arkansas","160","00","3","7","050565","05","0565",1363,1363,230.097356537609,5.92357956870843,1363,0,0,0,1363,9,1354,1363,1361,961,398,0,0,2,2,0,0,0,0,2,1363,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954,626,5,621,449,64,71,36,16,30,21,29,21,14,20,24,14,20,15,9,2,7,11,9,8,4,0,4,0,0,18393,1363,1013,789,224,0,0,0,350,176,174,0,0,0,1363,1358,5,0,5,5,0,0,5,0
"Dierks city","Dierks city, Arkansas","160","00","3","7","050570","05","0570",1263,1263,678.522058494088,1.86139858563051,1264,0,0,0,1264,14,1250,1263,1241,1226,0,15,0,0,22,9,0,0,0,13,1264,1248,16,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,938,515,0,515,483,54,78,43,34,24,28,26,24,19,13,30,17,18,18,13,6,4,10,11,4,9,0,0,0,0,18259,1256,1023,999,0,9,0,15,233,229,0,4,0,0,1264,1261,3,0,3,3,3,0,0,0
"Dover city","Dover city, Arkansas","160","00","3","7","050575","05","0575",1055,1055,585.104355460385,1.80309715720691,1055,0,0,0,1055,8,1047,1055,1045,1030,0,12,3,0,10,9,0,0,0,1,1055,1050,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,438,0,438,441,63,89,37,19,25,32,21,18,11,24,16,5,22,10,10,0,0,0,12,7,6,10,1,1,2,16250,1051,808,804,0,4,0,0,243,235,0,8,0,0,1055,1051,4,4,0,4,0,0,2,2
"Dumas city","Dumas city, Arkansas","160","00","3","7","050585","05","0585",5520,5520,1891.85308455736,2.91777413640527,5520,5520,0,5520,0,0,0,5520,5497,2611,2852,15,19,0,23,1,6,0,0,16,5520,5508,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3811,2145,0,2145,1909,443,340,117,91,111,84,64,56,69,71,53,51,36,26,23,29,18,30,43,26,60,20,17,21,10,13997,5428,3317,2203,1045,0,69,0,2111,409,1702,0,0,0,5520,5455,65,30,35,65,14,28,7,16
